municipio,poblacion_2025,gyms_google,fitness_x10k
Abengibre,753,37,491.36786188579015
Alatoz,504,28,555.5555555555555
Albacete,175400,53,3.0216647662485747
Albatana,644,46,714.2857142857142
Alborea,672,20,297.6190476190476
Alcadozo,635,9,141.73228346456693
Alcalá del Júcar,1130,22,194.69026548672565
Alcaraz,1283,36,280.59236165237724
Almansa,24615,29,11.781434084907577
Alpera,2278,9,39.50834064969271
Ayna,577,39,675.9098786828423
Balazote,2356,24,101.86757215619696
"Ballestero, El",411,41,997.5669099756691
Balsa de Ves,121,32,2644.628099173554
Barrax,1838,24,130.57671381936888
Bienservida,548,28,510.94890510948903
Bogarra,727,21,288.8583218707015
Bonete,950,22,231.57894736842107
"Bonillo, El",2645,22,83.1758034026465
Carcelén,483,23,476.19047619047615
Casas de Juan Núñez,1409,22,156.13910574875797
Casas de Lázaro,298,15,503.35570469798654
Casas de Ves,519,32,616.5703275529866
Casas-Ibáñez,4616,17,36.828422876949745
Caudete,10439,15,14.369192451384233
Cenizate,1163,27,232.15821152192606
Chinchilla de Monte-Aragón,4614,23,49.848287819679236
Corral-Rubio,303,27,891.089108910891
Cotillas,123,41,3333.333333333333
Elche de la Sierra,3603,21,58.28476269775187
Fuensanta,282,43,1524.822695035461
Fuente-Álamo,2422,29,119.73575557390588
Fuentealbilla,1804,9,49.88913525498891
Férez,604,47,778.1456953642383
"Gineta, La",2656,22,82.83132530120483
Golosalvo,79,48,6075.949367088608
Hellín,30836,25,8.107406926968478
"Herrera, La",308,22,714.2857142857142
Higueruela,1133,21,185.3486319505737
Hoya-Gonzalo,582,28,481.09965635738837
Jorquera,356,34,955.0561797752808
Letur,911,6,65.86169045005488
Lezuza,1281,42,327.8688524590164
Liétor,1052,43,408.745247148289
Madrigueras,4670,5,10.706638115631693
Mahora,1465,51,348.12286689419795
Masegoso,117,34,2905.9829059829062
Minaya,1381,48,347.57422157856627
Molinicos,754,26,344.82758620689657
Montalvos,74,43,5810.81081081081
Montealegre del Castillo,2051,31,151.14578254509993
Motilleja,673,36,534.9182763744427
Munera,3351,21,62.66786034019696
Navas de Jorquera,521,18,345.489443378119
Nerpio,1136,10,88.02816901408451
Ontur,1895,12,63.324538258575195
Ossa de Montiel,2233,10,44.782803403493055
Paterna del Madera,328,34,1036.5853658536585
Peñas de San Pedro,1488,11,73.9247311827957
Peñascosa,329,40,1215.80547112462
Povedilla,374,49,1310.1604278074865
Pozo Cañada,2704,41,151.62721893491124
Pozo-Lorente,398,53,1331.6582914572864
Pozohondo,1544,42,272.020725388601
Pozuelo,455,43,945.054945054945
Pétrola,660,55,833.3333333333333
"Recueja, La",215,57,2651.162790697674
Riópar,1344,13,96.72619047619048
Robledo,382,45,1178.0104712041884
"Roda, La",15643,56,35.79875982867737
Salobre,442,49,1108.5972850678731
San Pedro,1155,49,424.24242424242425
Socovos,1643,5,30.432136335970785
Tarazona de la Mancha,6100,28,45.90163934426229
Tobarra,8006,9,11.241568823382464
Valdeganga,1970,20,101.5228426395939
Vianos,317,50,1577.2870662460566
Villa de Ves,51,42,8235.294117647058
Villalgordo del Júcar,1159,20,172.5625539257981
Villamalea,4083,13,31.839333823169238
Villapalacios,539,37,686.4564007421151
Villarrobledo,25400,32,12.598425196850393
Villatoya,114,37,3245.6140350877195
Villavaliente,190,54,2842.1052631578946
Villaverde de Guadalimar,325,23,707.6923076923076
Viveros,293,65,2218.430034129693
Yeste,2471,8,32.375556454876566
