municipio,poblacion_2025,gyms_google,fitness_x10k,lat,lon,radius_m,gyms_sample_names,gyms_google_new,fitness_x10k_new
Abengibre,753,37,491.36786188579015,39.2105049,-1.5414436,4000,,0.0,0.0
Alatoz,504,28,555.5555555555555,39.0950499,-1.3619952,4000,,0.0,0.0
Albacete,175400,53,3.0216647662485747,38.9943983,-1.860173,18000,"967GYM; ALMA SERENA ( CENTRO DE YOGA, MEDITACIÓN Y CRECIMIENTO PERSONAL); Abraza tu Alma - Rosella Mesiano; Actitudes Entrenamiento Personal; Ahora Calma; Alba Fitness; Alf_Co | Centro de entrenamiento personal Albacete; Anahata Yoga y Bienestar",78.0,4.4469783352337515
Albatana,644,46,714.2857142857142,38.5719998,-1.5205598,4000,Circuito ALBATANA,1.0,15.527950310559005
Alborea,672,20,297.6190476190476,39.279205,-1.3957728,4000,Polideportivo Municipal de Alborea,1.0,14.88095238095238
Alcadozo,635,9,141.73228346456693,38.6490183,-1.9807161,4000,Gimnasio Sport Gim Z,1.0,15.748031496062993
Alcalá del Júcar,1130,22,194.69026548672565,39.1917781,-1.4295714,6000,Avenjúcar Multiaventura Alcalá del Júcar; Base Multiaventura Los Olivos; Despedida De Soltero; Embarcadero 1 (piraguas). Multiaventura Los Olivos; Multiaventura Los Olivos Alcalá del Júcar; Planes Despedidas; Polideportivo Municipal de Las Eras; Turiaventura,1.0,8.849557522123893
Alcaraz,1283,36,280.59236165237724,38.6665292,-2.4907128,6000,Circuito Club TT vado la Nava,1.0,7.79423226812159
Almansa,24615,29,11.781434084907575,38.8702789,-1.0993366,18000,"AngelaSport; COYP Movimiento y Salud; Centro De Yoga Dharma; Club Deportivo ""Francisco García""; Club Petanca Almansa; Club Squash Almansa; CrossBox Almansa Centro Deportivo; GB Performance",20.0,8.125126955108673
Alpera,2278,9,39.50834064969271,38.95904489999999,-1.2301597,6000,Gimnasio Municipal Alpera,1.0,4.389815627743634
Ayna,577,39,675.9098786828423,38.5537339,-2.0717287,4000,Vía Ferrata Los Picarzos - Aýna - K2 y K4,1.0,17.33102253032929
Balazote,2356,24,101.86757215619696,38.884867,-2.1522868,6000,Nutri-Gym Isabel; Pabellón Polideportivo Municipal de Balazote,2.0,8.488964346349745
"Ballestero, El",411,41,997.5669099756692,38.8412412,-2.4548517,4000,,0.0,0.0
Balsa de Ves,121,32,2644.628099173554,39.2645443,-1.1961571,4000,,0.0,0.0
Barrax,1838,24,130.57671381936888,39.0445824,-2.2014625,6000,Gimnasio municipal; Pabellón Municipal de Barrax,2.0,10.881392818280741
Bienservida,548,28,510.948905109489,38.517072,-2.6108647,4000,Gimnasio Municipal De Bienserbida,1.0,18.248175182481752
Bogarra,727,21,288.8583218707015,38.5816548,-2.2132142,4000,Caza del Molino,1.0,13.75515818431912
Bonete,950,22,231.57894736842107,38.87160069999999,-1.3481301,4000,Pabellón Polideportivo Municipal de Bonete,1.0,10.526315789473683
"Bonillo, El",2645,22,83.1758034026465,38.9510438,-2.5383647,6000,Fuente de la Salud; Gym Loren; MUNERA Polideportivo Municipal,3.0,11.342155009451794
Carcelén,483,23,476.19047619047615,39.1021624,-1.3089706,4000,"Casa Rural ""El Parador""",1.0,20.70393374741201
Casas de Juan Núñez,1409,22,156.13910574875797,39.100201,-1.5578697,6000,Pabellón Polideportivo de Casas de Juan Núñez,1.0,7.097232079488999
Casas de Lázaro,298,15,503.35570469798654,38.7710402,-2.2402728,4000,,0.0,0.0
Casas de Ves,519,32,616.5703275529866,39.2578708,-1.3330645,4000,Complejo Deportivo Valeriano Cantero,1.0,19.26782273603083
Casas-Ibáñez,4616,17,36.82842287694975,39.286714,-1.4712661,6000,Body Avalon; Pabellón Polideportivo Municipal de Casas-Ibáñez.,2.0,4.332755632582322
Caudete,10439,15,14.369192451384231,38.7046615,-0.9870381,10000,Ciudad Deportiva Atleta Antonio Amorós; In-Gym Fitness; Logan Training Center; NURIA FISIOYOGA; Pabellón de Caudete -Baloncesto; Polideportivo Público Municipal de Caudete; Tierra de Yoga; UP Training Center,8.0,7.6635693074049245
Cenizate,1163,27,232.1582115219261,39.3023107,-1.6627091,6000,Gimnasio de Cenizate; Polideportivo Municipal,2.0,17.196904557179707
Chinchilla de Monte-Aragón,4614,23,49.84828781967924,38.9195312,-1.7252937,6000,Caballeros de los Llanos; MKB - Monkey Chinchilla; Pabellón Polideportivo Municipal de Chinchilla de Monte-Aragón.; Pabellón San Miguel; Skate Park Chinchilla,5.0,10.836584308625921
