municipio,poblacion_2025,gyms_google,fitness_x10k,lat,lon,radius_m,gyms_sample_names,gyms_google_new,fitness_x10k_new,catchment_pop_25km,real_market_potential,dist_albacete_km,opportunity_score,catchment_gyms_25km,opportunity_score_v2,growth_5y,growth_10y,market_type,fitness_population,fitness_ratio
Abengibre,753,37,491.36786188579015,39.2105049,-1.5414436,4000,,0.0,0.0,27838,27838.0,36.52189879381345,27838.0,23.0,1159.9166666666667,-0.010512483574244415,-0.0370843989769821,Mercado emergente,21980.0,29.189907038512615
Alatoz,504,28,555.5555555555555,39.0950499,-1.3619952,4000,,0.0,0.0,16360,16360.0,44.45449821505933,16360.0,13.0,1168.571428571429,-0.003952569169960474,-0.1737704918032787,Mercado emergente,12908.0,25.61111111111111
Albacete,175400,53,3.0216647662485747,38.9943983,-1.860173,18000,"967GYM; ALMA SERENA ( CENTRO DE YOGA, MEDITACIÓN Y CRECIMIENTO PERSONAL); Abraza tu Alma - Rosella Mesiano; Actitudes Entrenamiento Personal; Ahora Calma; Alba Fitness; Alf_Co | Centro de entrenamiento personal Albacete; Anahata Yoga y Bienestar",78.0,4.446978335233752,188399,2384.7974683544303,0.0,715.439240506329,89.0,2093.322222222222,0.0061031571218795886,0.019050551646806607,Mercado emergente,4667.5,0.02661060433295325
Albatana,644,46,714.2857142857142,38.5719998,-1.5205598,4000,Circuito ALBATANA,1.0,15.527950310559005,43803,21901.5,55.43092744375406,21901.5,24.0,1752.12,-0.05154639175257732,-0.13440860215053763,Oportunidad latente,18004.0,27.956521739130434
Alborea,672,20,297.6190476190476,39.279205,-1.3957728,4000,Polideportivo Municipal de Alborea,1.0,14.88095238095238,18660,9330.0,51.06057386368706,9330.0,17.0,1036.6666666666667,0.012048192771084338,-0.10875331564986737,Mercado competitivo,18870.0,28.080357142857142
Alcadozo,635,9,141.73228346456693,38.6490183,-1.9807161,4000,Gimnasio Sport Gim Z,1.0,15.748031496062993,11236,5618.0,39.79898149524037,5618.0,11.0,936.3333333333334,-0.01854714064914992,-0.09155937052932761,Mercado competitivo,16248.0,25.58740157480315
Alcalá del Júcar,1130,22,194.69026548672565,39.1917781,-1.4295714,6000,Avenjúcar Multiaventura Alcalá del Júcar; Base Multiaventura Los Olivos; Despedida De Soltero; Embarcadero 1 (piraguas). Multiaventura Los Olivos; Multiaventura Los Olivos Alcalá del Júcar; Planes Despedidas; Polideportivo Municipal de Las Eras; Turiaventura,1.0,8.849557522123893,20630,10315.0,43.15847525975183,10315.0,19.0,1031.5,-0.05360134003350084,-0.096,Mercado débil,30504.0,26.994690265486724
Alcaraz,1283,36,280.59236165237724,38.6665292,-2.4907128,6000,Circuito Club TT vado la Nava,1.0,7.79423226812159,7330,3665.0,65.6677613641993,3665.0,5.0,1221.6666666666667,-0.030966767371601207,-0.16088947024198821,Oportunidad latente,39332.0,30.65627435697584
Almansa,24615,29,11.781434084907575,38.8702789,-1.0993366,18000,"AngelaSport; COYP Movimiento y Salud; Centro De Yoga Dharma; Club Deportivo ""Francisco García""; Club Petanca Almansa; Club Squash Almansa; CrossBox Almansa Centro Deportivo; GB Performance",20.0,8.125126955108673,40333,1920.619047619048,67.24166231988346,1920.619047619048,34.0,1152.3714285714286,0.004242992941944433,-0.008938277569754802,Mercado emergente,239487.43,9.729328864513509
Alpera,2278,9,39.50834064969271,38.95904489999999,-1.2301597,6000,Gimnasio Municipal Alpera,1.0,4.389815627743634,32317,16158.5,54.60189526079064,16158.5,29.0,1077.2333333333331,0.007518796992481203,-0.02063628546861565,Mercado emergente,58928.0,25.868305531167692
